('cid:', '6368', 'sales:', {'01/12/16': 282.6, '01/07/16': 643.5})
('cid:', '6378', 'sales:', {'01/17/16': 280.15})
('cid:', '6387', 'sales:', {'01/16/16': 462.96000000000004})
('cid:', '6392', 'sales:', {'01/17/16': 320.12999999999994})
('cid:', '6407', 'sales:', {'01/15/16': 150.55999999999997})
('cid:', '6527', 'sales:', {'01/17/16': 300.05})
('cid:', '6532', 'sales:', {'01/17/16': 214.7})
('cid:', '6538', 'sales:', {'01/17/16': 1720.4600000000005})
('cid:', '6550', 'sales:', {'01/17/16': 727.8500000000001})
('cid:', '6628', 'sales:', {'01/17/16': 461.3399999999999})
('cid:', '6658', 'sales:', {'01/17/16': 1023.1499999999999})
('cid:', '6663', 'sales:', {'01/15/16': 446.0})
('cid:', '6664', 'sales:', {'01/15/16': 26.65})
('cid:', '6680', 'sales:', {'01/17/16': 337.25})
('cid:', '6684', 'sales:', {'01/17/16': 62.87})
('cid:', '6697', 'sales:', {'01/17/16': 1211.79})
('cid:', '6724', 'sales:', {'01/14/16': 51.89})
('cid:', '6754', 'sales:', {'01/12/16': 77.00999999999999})
('cid:', '6823', 'sales:', {'01/13/16': 211.17000000000002})
('cid:', '6839', 'sales:', {'01/17/16': 15.96})
('cid:', '6855', 'sales:', {'01/17/16': 2148.84})
('cid:', '6880', 'sales:', {'01/17/16': 434.71999999999997})
('cid:', '6883', 'sales:', {'01/17/16': 305.31})
('cid:', '6892', 'sales:', {'01/17/16': 778.9399999999999})
('cid:', '6896', 'sales:', {'01/17/16': 198.5})
('cid:', '6902', 'sales:', {'01/15/16': 22.85})
('cid:', '6909', 'sales:', {'01/15/16': 164.34})
('cid:', '6921', 'sales:', {'01/14/16': 28.26})
('cid:', '6929', 'sales:', {'01/15/16': 511.64000000000004})
('cid:', '6930', 'sales:', {'01/15/16': 468.39000000000004})
('cid:', '699', 'sales:', {'01/17/16': 2113.1800000000003})
('cid:', '6990', 'sales:', {'01/15/16': 28.41})
('cid:', '6998', 'sales:', {'01/16/16': 552.0})
('cid:', '7021', 'sales:', {'01/17/16': 285.38})
('cid:', '7052', 'sales:', {'01/15/16': 96.75999999999999})
('cid:', '7057', 'sales:', {'01/17/16': 134.04})
('cid:', '7070', 'sales:', {'01/15/16': 58.28})
('cid:', '7083', 'sales:', {'01/15/16': 1168.9099999999999})
('cid:', '7095', 'sales:', {'01/17/16': 3305.41, '01/14/16': 34.44})
('cid:', '7097', 'sales:', {'01/15/16': 86.75})
('cid:', '7114', 'sales:', {'01/17/16': 459.28000000000003})
('cid:', '7116', 'sales:', {'01/17/16': 992.5300000000001})
('cid:', '7121', 'sales:', {'01/17/16': 302.96999999999997})
('cid:', '7125', 'sales:', {'01/17/16': 195.83})
('cid:', '7126', 'sales:', {'01/14/16': 58.53})
('cid:', '7128', 'sales:', {'01/17/16': 422.68000000000006})
('cid:', '7138', 'sales:', {'01/16/16': 651.28})
('cid:', '7147', 'sales:', {'01/17/16': 254.0})
('cid:', '7152', 'sales:', {'01/17/16': 325.95})
('cid:', '7159', 'sales:', {'01/15/16': 159.57999999999998})
('cid:', '7165', 'sales:', {'01/16/16': 1353.6100000000001})
('cid:', '7195', 'sales:', {'12/22/15': 639.3})
('cid:', '75', 'sales:', {'01/07/16': 29.13})
('cid:', '776', 'sales:', {'01/14/16': 84.78})
('cid:', '786', 'sales:', {'01/15/16': 133.96})
('cid:', '800', 'sales:', {'01/15/16': 604.4, '01/16/16': 36.43})
('cid:', '8303', 'sales:', {'01/16/16': 355.46999999999997})
('cid:', '8520', 'sales:', {'01/15/16': 96.42})
('cid:', '9242', 'sales:', {'01/15/16': 1260.97, '01/13/16': 3924.68})
('cid:', 'A110', 'sales:', {'01/15/16': -3.0})
('cid:', 'C', 'sales:', {'01/15/16': 94.53})
('cid:', 'EMP', 'sales:', {'01/16/16': 97.77})
('cid:', 'R71201', 'sales:', {'01/15/16': 30.08})


('id:', '10', 'credit dict:', {'11/16/15': 0.0}, 'ar dict:', {'12/28/15': 427.34000000000003})
('id:', '100', 'credit dict:', {}, 'ar dict:', {'12/28/15': 72127.83})
('id:', '101', 'credit dict:', {}, 'ar dict:', {'12/28/15': 79083.58})
('id:', '15', 'credit dict:', {'11/16/15': 0.0}, 'ar dict:', {})
('id:', '16', 'credit dict:', {'11/16/15': -7.28}, 'ar dict:', {})
('id:', '17', 'credit dict:', {'11/16/15': -765.59}, 'ar dict:', {'12/28/15': 6607.0})
('id:', '24', 'credit dict:', {'11/16/15': -979.25}, 'ar dict:', {'12/28/15': 19632.09})
('id:', '25', 'credit dict:', {'11/16/15': -635.38}, 'ar dict:', {'12/28/15': 89468.0})
('id:', '26', 'credit dict:', {'11/16/15': -894.25}, 'ar dict:', {'12/28/15': 20892.170000000002})
('id:', '28', 'credit dict:', {'11/16/15': -654.1}, 'ar dict:', {'12/28/15': 15169.93})
('id:', '3', 'credit dict:', {'11/16/15': -302.26}, 'ar dict:', {'12/28/15': 78.76})
('id:', '36', 'credit dict:', {'11/16/15': 0.0}, 'ar dict:', {})
('id:', '38', 'credit dict:', {'11/16/15': -58.0}, 'ar dict:', {})
('id:', '4', 'credit dict:', {'11/16/15': -511.73}, 'ar dict:', {'12/28/15': 112271.18})
